date,agent_id,calls,aht,fcr,occupancy,adherence,csat
2026-03-13,A003,46,583.4,0.833,0.803,0.938,4.35
2026-03-10,A003,33,683.8,0.686,0.776,0.944,3.74
2026-01-30,A003,18,318.4,0.78,0.637,0.884,4.17
2026-03-09,A003,52,686.0,0.626,0.758,0.944,4.47
2026-02-25,A003,23,544.6,0.903,0.946,0.905,3.92
2026-02-10,A003,25,360.7,0.894,0.662,0.807,4.37
2026-04-12,A003,35,660.1,0.733,0.619,0.837,3.39
2026-03-07,A003,50,700.5,0.585,0.703,0.855,4.58
2026-05-01,A003,20,244.1,0.901,0.624,0.807,3.57
2026-03-04,A003,16,205.8,0.552,0.801,0.883,4.25
2026-03-08,A003,20,404.4,0.75,0.879,0.971,4.0
2026-04-09,A003,29,247.6,0.69,0.785,0.851,4.23
2026-04-25,A003,42,538.7,0.598,0.921,0.809,4.23
2026-03-27,A003,45,277.6,0.555,0.769,0.813,3.9
2026-06-21,A003,56,229.3,0.554,0.819,0.859,4.68
2026-06-11,A003,25,222.1,0.816,0.885,0.884,3.78
2026-03-14,A003,15,415.6,0.619,0.714,0.962,4.02
2026-04-30,A003,46,410.0,0.899,0.735,0.943,4.35
2026-05-07,A003,56,504.1,0.619,0.86,0.882,3.5
2026-02-07,A003,40,526.1,0.566,0.686,0.915,3.95
2026-04-21,A003,44,186.8,0.895,0.68,0.955,4.34
2026-03-11,A003,58,612.0,0.616,0.784,0.852,4.23
2026-02-03,A003,49,535.0,0.785,0.756,0.837,3.5
2026-05-10,A003,25,651.5,0.567,0.759,0.948,4.65
2026-05-31,A003,41,560.3,0.918,0.698,0.918,3.97
2026-07-22,A003,17,461.2,0.653,0.825,0.863,4.14
2026-02-26,A003,35,384.5,0.748,0.69,0.81,3.52
2026-07-10,A003,17,419.7,0.756,0.826,0.831,4.43
2026-07-05,A003,46,655.0,0.841,0.688,0.854,4.12
2026-02-18,A003,26,640.5,0.777,0.755,0.984,4.53
2026-05-16,A003,53,264.8,0.835,0.927,0.935,4.43
2026-03-24,A003,40,641.0,0.903,0.915,0.804,3.53
2026-07-21,A003,51,677.4,0.618,0.626,0.91,3.73
2026-05-09,A003,57,322.8,0.706,0.777,0.884,4.71
2026-06-13,A003,56,661.9,0.701,0.827,0.809,3.77
2026-03-31,A003,36,407.0,0.629,0.604,0.86,4.38
2026-04-03,A004,52,714.6,0.821,0.604,0.919,3.68
2026-07-11,A004,60,443.3,0.919,0.696,0.937,3.44
2026-05-26,A004,59,343.6,0.768,0.715,0.854,3.59
2026-04-05,A004,17,566.0,0.557,0.949,0.973,3.45
2026-05-27,A004,43,593.1,0.897,0.678,0.917,3.33
2026-04-22,A004,15,458.7,0.637,0.619,0.938,4.76
2026-03-25,A004,48,601.7,0.564,0.808,0.913,4.64
2026-07-09,A004,33,301.0,0.589,0.889,0.917,3.98
2026-03-10,A004,58,519.9,0.791,0.791,0.975,4.59
2026-01-30,A004,28,301.7,0.813,0.677,0.8,4.32
2026-02-09,A004,17,463.7,0.815,0.901,0.925,4.42
2026-03-09,A004,25,539.3,0.629,0.648,0.825,4.51
2026-02-25,A004,54,412.1,0.716,0.859,0.955,4.54
2026-02-10,A004,17,617.6,0.862,0.607,0.925,3.39
2026-03-07,A004,46,665.0,0.657,0.88,0.937,3.26
2026-02-11,A004,24,702.3,0.866,0.748,0.801,4.1
2026-06-15,A004,18,312.1,0.857,0.811,0.943,3.37
2026-05-01,A004,49,312.1,0.863,0.601,0.868,3.84
2026-01-28,A004,60,357.4,0.89,0.8,0.884,4.62
2026-04-09,A004,59,249.7,0.72,0.753,0.954,4.14
2026-04-25,A004,52,665.3,0.884,0.946,0.984,3.7
2026-03-27,A004,19,659.2,0.639,0.611,0.985,3.78
2026-02-24,A004,54,697.8,0.869,0.787,0.857,4.35
2026-06-21,A004,51,592.0,0.574,0.927,0.872,3.55
2026-06-08,A004,53,387.3,0.696,0.836,0.969,3.8
2026-02-13,A004,20,437.8,0.852,0.609,0.9,3.55
2026-07-15,A004,20,422.8,0.778,0.621,0.93,3.79
2026-03-05,A004,51,429.5,0.82,0.618,0.818,4.26
2026-06-11,A004,46,378.6,0.699,0.892,0.895,4.0
2026-03-14,A004,31,438.1,0.802,0.92,0.979,3.57
2026-06-19,A004,41,669.0,0.56,0.908,0.929,3.81
2026-05-07,A004,29,192.3,0.895,0.824,0.91,3.77
2026-04-21,A004,38,363.3,0.696,0.676,0.896,3.32
2026-03-11,A004,38,315.8,0.686,0.798,0.808,3.75
2026-02-03,A004,21,187.8,0.569,0.826,0.83,4.16
2026-07-22,A004,18,574.2,0.686,0.846,0.922,3.24
2026-07-10,A004,19,540.5,0.618,0.623,0.99,3.41
2026-07-05,A004,16,268.6,0.599,0.689,0.899,4.45
2026-02-18,A004,57,324.1,0.612,0.735,0.961,3.56
2026-05-24,A004,53,531.6,0.78,0.913,0.929,4.31
2026-05-16,A004,17,206.0,0.583,0.657,0.963,3.59
2026-03-24,A004,22,540.8,0.592,0.738,0.989,3.36
2026-07-21,A004,55,578.6,0.622,0.792,0.9,4.56
2026-06-13,A004,34,287.8,0.851,0.75,0.984,3.4
2026-03-31,A004,50,522.2,0.912,0.682,0.882,3.76
2026-03-22,A005,16,329.0,0.652,0.942,0.846,3.25
2026-04-03,A005,37,324.4,0.79,0.905,0.867,4.08
2026-07-11,A005,28,368.7,0.557,0.918,0.907,3.44
2026-06-29,A005,16,280.5,0.736,0.847,0.877,3.95
2026-05-26,A005,20,411.6,0.596,0.689,0.886,4.22
2026-07-07,A005,31,517.6,0.742,0.815,0.944,4.03
2026-04-05,A005,35,421.6,0.602,0.649,0.838,3.99
2026-01-26,A005,20,604.1,0.641,0.604,0.976,4.46
2026-03-25,A005,55,581.9,0.581,0.751,0.917,4.34
2026-07-09,A005,49,655.1,0.888,0.717,0.835,3.31
2026-03-13,A005,53,419.1,0.569,0.668,0.939,3.53
2026-03-10,A005,54,372.8,0.889,0.939,0.84,3.83
2026-01-30,A005,55,714.5,0.819,0.876,0.947,4.36
2026-02-25,A005,33,244.3,0.907,0.65,0.81,4.42
2026-03-07,A005,20,453.9,0.62,0.896,0.973,4.58
2026-02-11,A005,25,236.3,0.905,0.627,0.854,3.69
2026-06-15,A005,19,643.1,0.855,0.752,0.92,4.72
2026-05-01,A005,55,216.5,0.726,0.917,0.884,4.47
2026-01-28,A005,37,263.9,0.821,0.828,0.816,4.57
2026-03-04,A005,22,380.0,0.821,0.817,0.988,4.27
2026-03-08,A005,60,706.0,0.722,0.649,0.889,3.79
2026-04-09,A005,42,529.6,0.597,0.625,0.95,4.75
2026-04-25,A005,56,219.8,0.636,0.75,0.833,4.67
2026-03-27,A005,26,225.2,0.613,0.715,0.89,4.46
2026-02-24,A005,21,545.1,0.702,0.705,0.92,3.33
2026-06-21,A005,36,374.2,0.603,0.906,0.83,4.07
2026-06-08,A005,35,301.1,0.842,0.893,0.91,3.24
2026-02-13,A005,21,589.3,0.705,0.841,0.897,4.7
2026-03-05,A005,37,586.8,0.903,0.719,0.835,3.85
2026-06-11,A005,49,493.6,0.633,0.751,0.916,3.21
2026-03-14,A005,47,388.9,0.684,0.704,0.809,4.3
2026-05-21,A005,20,242.7,0.676,0.926,0.923,4.55
2026-06-19,A005,21,612.8,0.861,0.668,0.889,3.73
2026-05-07,A005,59,427.5,0.656,0.757,0.823,4.59
2026-02-07,A005,54,538.6,0.55,0.755,0.957,4.46
2026-03-11,A005,26,686.9,0.565,0.687,0.913,4.16
2026-02-03,A005,31,350.1,0.558,0.687,0.844,4.36
2026-05-10,A005,30,567.5,0.774,0.636,0.865,3.52
2026-05-31,A005,28,713.5,0.568,0.884,0.981,4.46
2026-07-22,A005,15,512.1,0.798,0.677,0.827,3.24
2026-02-26,A005,45,443.4,0.677,0.767,0.969,4.67
2026-07-10,A005,27,666.5,0.772,0.65,0.874,3.75
2026-07-05,A005,24,301.7,0.699,0.723,0.885,4.33
2026-02-18,A005,26,291.0,0.577,0.76,0.81,4.27
2026-05-16,A005,37,716.0,0.755,0.752,0.866,4.08
2026-03-24,A005,44,378.2,0.629,0.853,0.913,3.28
2026-07-21,A005,26,396.8,0.768,0.699,0.96,3.99
2026-06-13,A005,20,707.4,0.648,0.618,0.922,3.34
2026-03-31,A005,27,489.5,0.64,0.72,0.877,3.22
2026-03-22,A006,52,505.6,0.631,0.725,0.832,4.29
2026-06-29,A006,35,382.5,0.872,0.794,0.975,4.02
2026-07-07,A006,60,372.3,0.839,0.717,0.914,3.81
2026-04-05,A006,52,573.1,0.572,0.925,0.897,3.21
2026-01-26,A006,52,373.7,0.586,0.811,0.951,4.21
2026-04-22,A006,42,341.8,0.564,0.65,0.92,3.26
2026-03-25,A006,49,527.8,0.883,0.764,0.877,4.13
2026-07-09,A006,49,323.5,0.608,0.651,0.895,3.52
2026-03-13,A006,22,615.9,0.834,0.699,0.899,4.34
2026-03-10,A006,37,433.9,0.634,0.887,0.886,4.75
2026-01-30,A006,27,336.2,0.564,0.681,0.932,4.56
2026-02-09,A006,54,665.7,0.642,0.777,0.837,4.59
2026-04-12,A006,28,636.7,0.706,0.723,0.953,3.96
2026-03-07,A006,20,605.8,0.807,0.916,0.988,4.68
2026-02-11,A006,31,234.8,0.584,0.704,0.958,3.22
2026-05-01,A006,19,327.9,0.552,0.793,0.909,4.72
2026-03-08,A006,32,716.2,0.868,0.743,0.826,3.96
2026-04-09,A006,38,599.9,0.87,0.62,0.91,4.73
2026-04-25,A006,30,696.9,0.754,0.688,0.983,3.93
2026-03-27,A006,38,387.6,0.763,0.605,0.91,3.76
2026-02-24,A006,47,418.0,0.601,0.619,0.965,3.29
2026-06-21,A006,36,673.4,0.699,0.926,0.828,3.25
2026-06-08,A006,46,382.3,0.688,0.694,0.929,3.94
2026-02-13,A006,55,643.3,0.802,0.675,0.82,3.76
2026-07-15,A006,58,394.8,0.818,0.932,0.863,4.4
2026-03-05,A006,15,287.3,0.784,0.884,0.912,4.17
2026-06-11,A006,15,469.5,0.814,0.724,0.986,4.62
2026-03-14,A006,31,547.4,0.565,0.605,0.936,4.28
2026-05-07,A006,55,719.7,0.602,0.779,0.893,4.74
2026-02-07,A006,23,677.6,0.67,0.791,0.821,4.6
2026-03-11,A006,37,709.5,0.598,0.923,0.9,4.21
2026-02-03,A006,43,637.3,0.697,0.689,0.918,4.24
2026-05-31,A006,24,198.6,0.815,0.709,0.912,3.86
2026-07-22,A006,33,431.7,0.681,0.887,0.812,4.38
2026-02-26,A006,48,578.8,0.558,0.608,0.869,3.82
2026-07-10,A006,36,638.7,0.866,0.918,0.848,3.61
2026-07-05,A006,49,321.7,0.785,0.931,0.93,4.2
2026-02-18,A006,33,272.6,0.746,0.879,0.906,4.06
2026-05-24,A006,36,262.7,0.625,0.865,0.852,3.4
2026-05-16,A006,30,704.4,0.815,0.741,0.883,4.36
2026-03-24,A006,23,434.8,0.71,0.789,0.822,4.58
2026-05-09,A006,58,329.0,0.605,0.742,0.885,3.87
2026-06-13,A006,54,460.0,0.591,0.719,0.89,3.86
2026-03-31,A006,55,448.5,0.864,0.783,0.945,3.85
2026-03-22,A007,35,413.2,0.905,0.72,0.863,3.94
2026-07-11,A007,36,188.8,0.751,0.857,0.814,3.76
2026-06-29,A007,33,394.4,0.665,0.942,0.896,4.43
2026-05-26,A007,50,305.4,0.6,0.722,0.822,4.32
2026-07-07,A007,32,464.9,0.647,0.712,0.865,4.72
2026-05-27,A007,56,573.5,0.571,0.682,0.96,4.22
2026-01-26,A007,46,478.7,0.575,0.62,0.829,4.11
2026-04-22,A007,25,451.7,0.661,0.901,0.859,3.5
2026-03-25,A007,28,418.3,0.674,0.813,0.878,4.0
2026-07-09,A007,48,471.0,0.77,0.816,0.857,3.24
2026-03-10,A007,57,505.6,0.818,0.803,0.953,4.31
2026-01-30,A007,50,185.3,0.886,0.7,0.824,4.01
2026-02-09,A007,40,408.1,0.88,0.619,0.906,4.71
2026-03-09,A007,30,246.9,0.713,0.691,0.87,3.63
2026-02-25,A007,20,703.7,0.807,0.655,0.851,4.13
2026-04-12,A007,16,597.6,0.827,0.757,0.959,3.74
2026-03-07,A007,40,221.7,0.716,0.945,0.945,4.68
2026-02-11,A007,34,204.7,0.74,0.607,0.803,3.58
2026-06-15,A007,25,632.0,0.617,0.779,0.968,4.27
2026-05-01,A007,28,628.6,0.902,0.902,0.86,3.37
2026-01-28,A007,28,607.9,0.824,0.741,0.827,3.69
2026-03-04,A007,32,343.7,0.696,0.749,0.937,4.03
2026-03-08,A007,59,548.7,0.635,0.817,0.988,4.43
2026-04-09,A007,44,374.4,0.838,0.853,0.965,4.25
2026-04-25,A007,53,189.8,0.856,0.752,0.868,3.63
2026-03-27,A007,52,559.6,0.773,0.646,0.987,4.21
2026-06-21,A007,50,410.9,0.917,0.786,0.959,4.76
2026-06-08,A007,16,439.9,0.586,0.886,0.952,4.52
2026-02-13,A007,28,496.8,0.575,0.93,0.891,3.34
2026-03-05,A007,54,268.1,0.667,0.862,0.816,4.78
2026-06-11,A007,47,275.8,0.844,0.893,0.83,4.44
2026-03-14,A007,37,514.6,0.888,0.844,0.864,4.45
2026-05-21,A007,24,226.9,0.581,0.602,0.813,4.31
2026-04-30,A007,24,207.6,0.746,0.793,0.957,4.69
2026-05-07,A007,32,516.2,0.585,0.917,0.931,4.67
2026-02-07,A007,57,203.5,0.692,0.914,0.87,3.73
2026-04-21,A007,32,438.9,0.647,0.94,0.977,4.35
2026-03-11,A007,32,619.4,0.832,0.673,0.876,3.51
2026-02-03,A007,32,319.9,0.85,0.607,0.837,4.43
2026-07-22,A007,50,425.7,0.673,0.676,0.854,3.81
2026-07-05,A007,27,515.2,0.634,0.724,0.927,3.21
2026-02-18,A007,57,546.4,0.722,0.926,0.972,4.36
2026-05-24,A007,18,296.4,0.668,0.814,0.925,3.68
2026-05-16,A007,37,559.6,0.862,0.623,0.805,3.35
2026-07-21,A007,25,695.2,0.781,0.925,0.955,3.68
2026-05-09,A007,58,343.5,0.692,0.704,0.977,3.96
2026-06-13,A007,53,237.6,0.712,0.784,0.906,3.27
2026-03-31,A007,38,559.6,0.851,0.812,0.896,3.53
2026-03-22,A008,40,417.1,0.873,0.767,0.954,4.55
2026-07-11,A008,34,658.3,0.843,0.882,0.831,4.29
2026-06-29,A008,21,431.9,0.678,0.947,0.896,4.68
2026-05-26,A008,56,444.6,0.606,0.85,0.844,3.5
2026-07-07,A008,34,329.7,0.631,0.922,0.81,4.0
2026-04-05,A008,31,658.2,0.651,0.629,0.934,3.3
2026-05-27,A008,52,284.2,0.889,0.926,0.873,4.53
2026-04-22,A008,22,224.4,0.864,0.703,0.936,4.05
2026-03-25,A008,60,712.1,0.83,0.725,0.979,4.34
2026-07-09,A008,24,639.6,0.905,0.685,0.863,4.16
2026-03-10,A008,51,621.0,0.715,0.867,0.863,3.44
2026-01-30,A008,55,218.8,0.873,0.667,0.81,3.96
2026-03-09,A008,38,565.9,0.863,0.602,0.879,3.86
2026-02-25,A008,43,423.6,0.692,0.905,0.889,3.4
2026-02-10,A008,57,369.4,0.86,0.753,0.941,3.37
2026-03-07,A008,46,555.3,0.76,0.792,0.844,4.07
2026-02-11,A008,59,484.8,0.806,0.705,0.898,4.08
2026-05-01,A008,15,286.2,0.918,0.653,0.916,4.39
2026-03-08,A008,25,265.4,0.851,0.946,0.979,3.48
2026-04-09,A008,29,275.0,0.566,0.844,0.829,4.12
2026-04-25,A008,51,335.7,0.746,0.626,0.962,4.22
2026-03-27,A008,32,411.5,0.552,0.903,0.833,3.51
2026-02-24,A008,23,497.9,0.879,0.613,0.925,4.34
2026-06-08,A008,24,682.1,0.662,0.865,0.986,3.37
2026-02-13,A008,36,615.8,0.707,0.816,0.985,3.32
2026-07-15,A008,50,353.6,0.618,0.692,0.977,4.07
2026-03-05,A008,28,478.7,0.631,0.846,0.987,4.76
2026-05-21,A008,56,381.6,0.915,0.608,0.921,3.97
2026-04-30,A008,47,572.7,0.619,0.906,0.952,4.37
2026-06-19,A008,37,209.7,0.691,0.936,0.952,3.92
2026-05-07,A008,46,466.5,0.905,0.855,0.987,3.36
2026-02-07,A008,51,290.3,0.894,0.808,0.9,4.21
2026-02-03,A008,33,420.9,0.818,0.602,0.988,4.16
2026-05-10,A008,46,309.0,0.759,0.883,0.901,4.46
2026-05-31,A008,43,301.9,0.685,0.666,0.902,4.24
2026-07-22,A008,19,272.0,0.722,0.62,0.89,3.43
2026-02-26,A008,57,697.4,0.91,0.654,0.831,4.79
2026-07-10,A008,18,485.0,0.799,0.827,0.894,4.41
2026-07-05,A008,30,371.0,0.633,0.762,0.852,3.6
2026-02-18,A008,19,408.3,0.782,0.939,0.907,4.13
2026-05-24,A008,16,318.4,0.687,0.649,0.891,4.78
2026-03-24,A008,22,518.1,0.59,0.838,0.944,3.25
2026-07-21,A008,54,272.9,0.686,0.748,0.884,3.81
2026-05-09,A008,32,682.3,0.721,0.698,0.923,3.66
2026-03-22,A009,35,180.4,0.785,0.76,0.959,4.06
2026-04-03,A009,34,317.1,0.714,0.826,0.801,3.3
2026-07-11,A009,45,420.2,0.565,0.63,0.824,3.65
2026-06-29,A009,54,670.2,0.799,0.939,0.9,4.12
2026-05-26,A009,52,210.1,0.579,0.784,0.803,4.11
2026-04-05,A009,46,612.2,0.631,0.759,0.983,4.4
2026-05-27,A009,39,682.7,0.568,0.627,0.809,4.16
2026-04-22,A009,21,259.6,0.707,0.738,0.987,4.57
2026-03-25,A009,52,210.7,0.642,0.812,0.969,4.79
2026-07-09,A009,28,194.3,0.763,0.643,0.946,4.21
2026-03-13,A009,21,710.9,0.847,0.671,0.945,4.23
2026-01-30,A009,49,641.7,0.914,0.752,0.981,3.29
2026-03-09,A009,15,518.6,0.561,0.904,0.868,4.1
2026-02-25,A009,24,188.1,0.73,0.616,0.86,3.47
2026-02-10,A009,52,469.5,0.727,0.757,0.981,3.83
2026-04-12,A009,42,532.9,0.839,0.626,0.943,3.36
2026-03-07,A009,53,521.5,0.86,0.875,0.929,3.86
2026-02-11,A009,59,441.7,0.728,0.93,0.889,4.4
2026-06-15,A009,29,704.1,0.604,0.896,0.968,3.42
2026-05-01,A009,60,268.1,0.887,0.895,0.841,4.24
2026-01-28,A009,34,244.3,0.744,0.78,0.869,3.67
2026-03-08,A009,31,194.9,0.728,0.861,0.968,4.01
2026-04-09,A009,54,549.7,0.705,0.881,0.86,4.79
2026-04-25,A009,17,348.9,0.701,0.791,0.966,4.47
2026-03-27,A009,18,325.3,0.641,0.626,0.942,4.78
2026-02-24,A009,50,395.6,0.903,0.789,0.951,4.09
2026-06-21,A009,49,659.3,0.902,0.62,0.882,3.81
2026-06-08,A009,27,683.8,0.77,0.6,0.956,4.65
2026-02-13,A009,20,545.1,0.637,0.93,0.875,4.08
2026-07-15,A009,59,715.4,0.714,0.69,0.899,4.62
2026-03-05,A009,22,498.1,0.629,0.725,0.808,4.67
2026-05-21,A009,50,681.9,0.787,0.652,0.898,4.78
2026-04-30,A009,35,373.9,0.906,0.942,0.875,3.36
2026-06-19,A009,36,498.7,0.652,0.797,0.904,4.71
2026-05-07,A009,39,493.5,0.896,0.827,0.956,3.29
2026-02-07,A009,56,414.6,0.708,0.796,0.988,4.1
2026-04-21,A009,58,235.8,0.582,0.677,0.984,3.47
2026-03-11,A009,15,194.7,0.561,0.748,0.952,4.74
2026-02-03,A009,46,710.7,0.712,0.659,0.969,4.76
2026-05-10,A009,40,268.5,0.843,0.897,0.913,3.63
2026-07-22,A009,39,270.9,0.872,0.843,0.809,3.82
2026-02-26,A009,50,283.3,0.791,0.68,0.852,4.76
2026-07-05,A009,43,718.4,0.768,0.611,0.921,4.43
2026-02-18,A009,31,485.0,0.826,0.849,0.952,3.94
2026-05-24,A009,50,261.7,0.589,0.782,0.811,4.52
2026-03-24,A009,49,712.9,0.579,0.884,0.989,4.51
2026-07-21,A009,47,670.3,0.825,0.759,0.859,3.23
2026-05-09,A009,40,439.4,0.907,0.625,0.935,3.94
2026-06-13,A009,53,700.4,0.79,0.731,0.982,4.46
2026-03-31,A009,59,233.9,0.747,0.692,0.958,4.46
2026-03-22,A010,23,577.5,0.64,0.876,0.832,3.92
2026-04-03,A010,40,635.8,0.555,0.91,0.926,4.06
2026-07-11,A010,55,648.0,0.912,0.939,0.801,3.67
2026-06-29,A010,56,183.3,0.561,0.717,0.917,4.79
2026-05-27,A010,21,579.1,0.773,0.707,0.943,4.62
2026-01-26,A010,33,398.5,0.906,0.714,0.828,3.23
2026-04-22,A010,40,285.9,0.751,0.84,0.94,3.9
2026-07-09,A010,45,319.2,0.911,0.929,0.887,3.43
2026-03-13,A010,45,643.3,0.651,0.695,0.952,3.91
2026-01-30,A010,45,543.7,0.628,0.672,0.824,4.18
2026-03-09,A010,19,636.1,0.822,0.875,0.807,4.36
2026-02-25,A010,22,704.7,0.629,0.608,0.803,3.49
2026-02-10,A010,38,485.3,0.763,0.693,0.975,3.98
2026-04-12,A010,15,291.7,0.902,0.943,0.955,3.57
2026-03-07,A010,29,573.9,0.598,0.734,0.913,3.2
2026-06-15,A010,42,217.8,0.848,0.639,0.989,4.51
2026-05-01,A010,37,421.4,0.892,0.913,0.874,3.66
2026-03-04,A010,47,480.5,0.891,0.671,0.948,4.01
2026-04-09,A010,25,209.4,0.898,0.763,0.925,3.74
2026-04-25,A010,57,264.0,0.698,0.859,0.88,4.59
2026-03-27,A010,27,708.5,0.639,0.723,0.928,3.75
2026-02-24,A010,60,406.6,0.837,0.759,0.847,3.54
2026-06-21,A010,44,253.3,0.646,0.938,0.928,4.07
2026-07-15,A010,45,700.6,0.642,0.772,0.823,3.56
2026-03-05,A010,59,401.5,0.845,0.625,0.96,3.6
2026-06-11,A010,44,591.2,0.826,0.623,0.984,3.44
2026-05-21,A010,41,214.0,0.778,0.933,0.885,4.07
2026-06-19,A010,46,375.2,0.577,0.904,0.838,3.95
