qa_id,agent_id,interaction_id,score,notes
QA381809,A056,INT0000659,85,Agent followed protocol correctly and confirmed resolution with customer.
QA457179,A020,INT0000679,94,Agent followed protocol correctly and confirmed resolution with customer.
QA821391,A018,INT0000688,99,Agent followed protocol correctly and confirmed resolution with customer.
QA585325,A029,INT0000691,91,Agent followed protocol correctly and confirmed resolution with customer.
QA156886,A039,INT0000695,94,Agent followed protocol correctly and confirmed resolution with customer.
QA887179,A032,INT0000705,90,Agent followed protocol correctly and confirmed resolution with customer.
QA554450,A036,INT0000719,60,Agent closed interaction prematurely; customer issue was not fully addressed.
QA421663,A026,INT0000726,91,Agent followed protocol correctly and confirmed resolution with customer.
QA911952,A034,INT0000727,96,Agent followed protocol correctly and confirmed resolution with customer.
QA993767,A042,INT0000740,85,Agent followed protocol correctly and confirmed resolution with customer.
QA567735,A066,INT0000753,89,Agent followed protocol correctly and confirmed resolution with customer.
QA110388,A015,INT0000757,71,Agent closed interaction prematurely; customer issue was not fully addressed.
QA934278,A039,INT0000761,82,Agent followed protocol correctly and confirmed resolution with customer.
QA710135,A024,INT0000766,99,Agent followed protocol correctly and confirmed resolution with customer.
QA493899,A042,INT0000768,89,Agent followed protocol correctly and confirmed resolution with customer.
QA214304,A016,INT0000780,96,Agent followed protocol correctly and confirmed resolution with customer.
QA123510,A018,INT0000782,80,Agent followed protocol correctly and confirmed resolution with customer.
QA272235,A044,INT0000786,62,Agent closed interaction prematurely; customer issue was not fully addressed.
QA488558,A024,INT0000791,90,Agent followed protocol correctly and confirmed resolution with customer.
QA343444,A053,INT0000793,84,Agent followed protocol correctly and confirmed resolution with customer.
QA358771,A014,INT0000808,93,Agent followed protocol correctly and confirmed resolution with customer.
QA872939,A013,INT0000825,97,Agent followed protocol correctly and confirmed resolution with customer.
QA531493,A011,INT0000830,67,Agent closed interaction prematurely; customer issue was not fully addressed.
QA921309,A022,INT0000836,96,Agent followed protocol correctly and confirmed resolution with customer.
QA998648,A009,INT0000837,89,Agent followed protocol correctly and confirmed resolution with customer.
QA937800,A028,INT0000846,89,Agent followed protocol correctly and confirmed resolution with customer.
QA257145,A055,INT0000896,66,Agent closed interaction prematurely; customer issue was not fully addressed.
QA652989,A026,INT0000898,62,Agent closed interaction prematurely; customer issue was not fully addressed.
QA826313,A063,INT0000924,51,Agent closed interaction prematurely; customer issue was not fully addressed.
QA498398,A073,INT0000931,99,Agent followed protocol correctly and confirmed resolution with customer.
QA253572,A009,INT0000939,85,Agent followed protocol correctly and confirmed resolution with customer.
QA786599,A064,INT0000943,53,Agent closed interaction prematurely; customer issue was not fully addressed.
QA817577,A072,INT0000953,51,Agent closed interaction prematurely; customer issue was not fully addressed.
QA990288,A040,INT0000985,84,Agent followed protocol correctly and confirmed resolution with customer.
QA944301,A004,INT0000995,82,Agent followed protocol correctly and confirmed resolution with customer.
QA788448,A062,INT0000996,80,Agent followed protocol correctly and confirmed resolution with customer.
QA436329,A037,INT0001002,53,Agent closed interaction prematurely; customer issue was not fully addressed.
QA430086,A015,INT0001013,94,Agent followed protocol correctly and confirmed resolution with customer.
QA938967,A017,INT0001019,88,Agent followed protocol correctly and confirmed resolution with customer.
QA752988,A024,INT0001024,90,Agent followed protocol correctly and confirmed resolution with customer.
QA170892,A039,INT0001026,97,Agent followed protocol correctly and confirmed resolution with customer.
QA214693,A025,INT0001033,82,Agent followed protocol correctly and confirmed resolution with customer.
QA290183,A048,INT0001039,95,Agent followed protocol correctly and confirmed resolution with customer.
QA988195,A038,INT0001052,61,Agent closed interaction prematurely; customer issue was not fully addressed.
QA585413,A003,INT0001059,60,Agent closed interaction prematurely; customer issue was not fully addressed.
QA331868,A008,INT0001065,85,Agent followed protocol correctly and confirmed resolution with customer.
QA434547,A075,INT0001072,54,Agent closed interaction prematurely; customer issue was not fully addressed.
QA653683,A033,INT0001080,84,Agent followed protocol correctly and confirmed resolution with customer.
QA611118,A030,INT0001107,96,Agent followed protocol correctly and confirmed resolution with customer.
QA847923,A056,INT0001112,83,Agent followed protocol correctly and confirmed resolution with customer.
QA641199,A069,INT0001138,93,Agent followed protocol correctly and confirmed resolution with customer.
QA470511,A032,INT0001140,89,Agent followed protocol correctly and confirmed resolution with customer.
QA944022,A045,INT0001147,82,Agent followed protocol correctly and confirmed resolution with customer.
QA759782,A023,INT0001148,85,Agent followed protocol correctly and confirmed resolution with customer.
QA817251,A047,INT0001159,57,Agent closed interaction prematurely; customer issue was not fully addressed.
QA967023,A069,INT0001162,84,Agent followed protocol correctly and confirmed resolution with customer.
QA838643,A005,INT0001178,98,Agent followed protocol correctly and confirmed resolution with customer.
QA343274,A034,INT0001197,96,Agent followed protocol correctly and confirmed resolution with customer.
QA462668,A030,INT0001198,62,Agent closed interaction prematurely; customer issue was not fully addressed.
QA739346,A030,INT0001210,60,Agent closed interaction prematurely; customer issue was not fully addressed.
QA633736,A022,INT0001221,87,Agent followed protocol correctly and confirmed resolution with customer.
QA634439,A044,INT0001224,100,Agent followed protocol correctly and confirmed resolution with customer.
QA188095,A005,INT0001225,84,Agent followed protocol correctly and confirmed resolution with customer.
QA865846,A015,INT0001247,89,Agent followed protocol correctly and confirmed resolution with customer.
QA294712,A040,INT0001249,92,Agent followed protocol correctly and confirmed resolution with customer.
QA363248,A033,INT0001256,90,Agent followed protocol correctly and confirmed resolution with customer.
QA215041,A073,INT0001265,94,Agent followed protocol correctly and confirmed resolution with customer.
QA281741,A060,INT0001277,74,Agent closed interaction prematurely; customer issue was not fully addressed.
QA877960,A020,INT0001279,57,Agent closed interaction prematurely; customer issue was not fully addressed.
QA124648,A061,INT0001294,100,Agent followed protocol correctly and confirmed resolution with customer.
QA314475,A059,INT0001296,100,Agent followed protocol correctly and confirmed resolution with customer.
QA920986,A071,INT0001298,65,Agent closed interaction prematurely; customer issue was not fully addressed.
QA732886,A057,INT0001301,65,Agent closed interaction prematurely; customer issue was not fully addressed.
QA170291,A033,INT0001307,53,Agent closed interaction prematurely; customer issue was not fully addressed.
QA587006,A011,INT0001314,92,Agent followed protocol correctly and confirmed resolution with customer.
QA720612,A039,INT0001334,94,Agent followed protocol correctly and confirmed resolution with customer.
QA931518,A058,INT0001343,90,Agent followed protocol correctly and confirmed resolution with customer.
QA658946,A064,INT0001357,84,Agent followed protocol correctly and confirmed resolution with customer.
QA634511,A059,INT0001376,88,Agent followed protocol correctly and confirmed resolution with customer.
QA773378,A028,INT0001378,69,Agent closed interaction prematurely; customer issue was not fully addressed.
QA214615,A059,INT0001387,89,Agent followed protocol correctly and confirmed resolution with customer.
QA160823,A069,INT0001402,82,Agent followed protocol correctly and confirmed resolution with customer.
QA150402,A019,INT0001412,92,Agent followed protocol correctly and confirmed resolution with customer.
QA587523,A070,INT0001421,92,Agent followed protocol correctly and confirmed resolution with customer.
QA968092,A024,INT0001427,87,Agent followed protocol correctly and confirmed resolution with customer.
QA553228,A073,INT0001434,86,Agent followed protocol correctly and confirmed resolution with customer.
QA683503,A016,INT0001441,66,Agent closed interaction prematurely; customer issue was not fully addressed.
QA466493,A019,INT0001443,58,Agent closed interaction prematurely; customer issue was not fully addressed.
QA429892,A060,INT0001445,59,Agent closed interaction prematurely; customer issue was not fully addressed.
QA940417,A019,INT0001449,80,Agent followed protocol correctly and confirmed resolution with customer.
QA846955,A030,INT0001454,93,Agent followed protocol correctly and confirmed resolution with customer.
QA488735,A068,INT0001465,69,Agent closed interaction prematurely; customer issue was not fully addressed.
QA346881,A052,INT0001467,80,Agent followed protocol correctly and confirmed resolution with customer.
QA256763,A016,INT0001480,89,Agent followed protocol correctly and confirmed resolution with customer.
QA676793,A002,INT0001488,94,Agent followed protocol correctly and confirmed resolution with customer.
QA242009,A030,INT0001505,93,Agent followed protocol correctly and confirmed resolution with customer.
QA645569,A001,INT0001510,91,Agent followed protocol correctly and confirmed resolution with customer.
QA666944,A013,INT0001536,97,Agent followed protocol correctly and confirmed resolution with customer.
QA614743,A005,INT0001541,83,Agent followed protocol correctly and confirmed resolution with customer.
QA242897,A042,INT0001543,92,Agent followed protocol correctly and confirmed resolution with customer.
QA365819,A062,INT0001544,55,Agent closed interaction prematurely; customer issue was not fully addressed.
QA619198,A050,INT0001551,97,Agent followed protocol correctly and confirmed resolution with customer.
QA246238,A002,INT0001560,88,Agent followed protocol correctly and confirmed resolution with customer.
QA545098,A032,INT0001562,98,Agent followed protocol correctly and confirmed resolution with customer.
QA711172,A045,INT0001570,93,Agent followed protocol correctly and confirmed resolution with customer.
QA417734,A048,INT0001574,100,Agent followed protocol correctly and confirmed resolution with customer.
QA641826,A016,INT0001617,69,Agent closed interaction prematurely; customer issue was not fully addressed.
QA625441,A014,INT0001638,86,Agent followed protocol correctly and confirmed resolution with customer.
QA104317,A073,INT0001646,84,Agent followed protocol correctly and confirmed resolution with customer.
QA622012,A031,INT0001666,93,Agent followed protocol correctly and confirmed resolution with customer.
QA380504,A007,INT0001687,86,Agent followed protocol correctly and confirmed resolution with customer.
QA622460,A010,INT0001689,52,Agent closed interaction prematurely; customer issue was not fully addressed.
QA214999,A021,INT0001705,84,Agent followed protocol correctly and confirmed resolution with customer.
QA296443,A034,INT0001706,94,Agent followed protocol correctly and confirmed resolution with customer.
QA895526,A048,INT0001718,72,Agent closed interaction prematurely; customer issue was not fully addressed.
QA498042,A043,INT0001738,73,Agent closed interaction prematurely; customer issue was not fully addressed.
QA365742,A007,INT0001740,63,Agent closed interaction prematurely; customer issue was not fully addressed.
QA967259,A047,INT0001741,54,Agent closed interaction prematurely; customer issue was not fully addressed.
QA875952,A031,INT0001744,96,Agent followed protocol correctly and confirmed resolution with customer.
QA447976,A022,INT0001755,92,Agent followed protocol correctly and confirmed resolution with customer.
QA824231,A067,INT0001765,84,Agent followed protocol correctly and confirmed resolution with customer.
QA410110,A064,INT0001767,82,Agent followed protocol correctly and confirmed resolution with customer.
QA917244,A034,INT0001804,74,Agent closed interaction prematurely; customer issue was not fully addressed.
QA959415,A067,INT0001812,95,Agent followed protocol correctly and confirmed resolution with customer.
QA312145,A018,INT0001813,90,Agent followed protocol correctly and confirmed resolution with customer.
QA751793,A075,INT0001814,89,Agent followed protocol correctly and confirmed resolution with customer.
QA619495,A071,INT0001819,100,Agent followed protocol correctly and confirmed resolution with customer.
QA666198,A047,INT0001820,86,Agent followed protocol correctly and confirmed resolution with customer.
QA651991,A020,INT0001832,98,Agent followed protocol correctly and confirmed resolution with customer.
QA437532,A063,INT0001870,55,Agent closed interaction prematurely; customer issue was not fully addressed.
QA506133,A006,INT0001875,64,Agent closed interaction prematurely; customer issue was not fully addressed.
QA470936,A071,INT0001881,86,Agent followed protocol correctly and confirmed resolution with customer.
QA644563,A010,INT0001883,86,Agent followed protocol correctly and confirmed resolution with customer.
QA133662,A002,INT0001889,98,Agent followed protocol correctly and confirmed resolution with customer.
QA208773,A007,INT0001891,99,Agent followed protocol correctly and confirmed resolution with customer.
QA677135,A043,INT0001913,73,Agent closed interaction prematurely; customer issue was not fully addressed.
QA347171,A028,INT0001923,84,Agent followed protocol correctly and confirmed resolution with customer.
QA240019,A043,INT0001946,84,Agent followed protocol correctly and confirmed resolution with customer.
QA995217,A045,INT0001960,89,Agent followed protocol correctly and confirmed resolution with customer.
QA563405,A026,INT0001962,94,Agent followed protocol correctly and confirmed resolution with customer.
QA721351,A035,INT0001975,80,Agent followed protocol correctly and confirmed resolution with customer.
QA805844,A050,INT0001988,97,Agent followed protocol correctly and confirmed resolution with customer.
QA423546,A016,INT0002004,88,Agent followed protocol correctly and confirmed resolution with customer.
QA355857,A023,INT0002010,89,Agent followed protocol correctly and confirmed resolution with customer.
QA600272,A014,INT0002015,87,Agent followed protocol correctly and confirmed resolution with customer.
QA808435,A049,INT0002024,91,Agent followed protocol correctly and confirmed resolution with customer.
QA715108,A056,INT0002026,88,Agent followed protocol correctly and confirmed resolution with customer.
QA380139,A044,INT0002037,81,Agent followed protocol correctly and confirmed resolution with customer.
QA302054,A071,INT0002038,84,Agent followed protocol correctly and confirmed resolution with customer.
QA596372,A055,INT0002041,96,Agent followed protocol correctly and confirmed resolution with customer.
QA232596,A050,INT0002042,96,Agent followed protocol correctly and confirmed resolution with customer.
QA650057,A005,INT0002043,97,Agent followed protocol correctly and confirmed resolution with customer.
QA706285,A015,INT0002045,94,Agent followed protocol correctly and confirmed resolution with customer.
QA118429,A013,INT0002048,89,Agent followed protocol correctly and confirmed resolution with customer.
QA857818,A013,INT0002066,83,Agent followed protocol correctly and confirmed resolution with customer.
QA679796,A010,INT0002068,94,Agent followed protocol correctly and confirmed resolution with customer.
QA977564,A013,INT0002078,95,Agent followed protocol correctly and confirmed resolution with customer.
QA132404,A073,INT0002092,100,Agent followed protocol correctly and confirmed resolution with customer.
QA566261,A053,INT0002120,84,Agent followed protocol correctly and confirmed resolution with customer.
QA628029,A033,INT0002130,96,Agent followed protocol correctly and confirmed resolution with customer.
QA442054,A048,INT0002131,82,Agent followed protocol correctly and confirmed resolution with customer.
QA249698,A061,INT0002144,96,Agent followed protocol correctly and confirmed resolution with customer.
QA720118,A074,INT0002148,71,Agent closed interaction prematurely; customer issue was not fully addressed.
QA138577,A045,INT0002176,81,Agent followed protocol correctly and confirmed resolution with customer.
QA734486,A021,INT0002188,61,Agent closed interaction prematurely; customer issue was not fully addressed.
QA343057,A013,INT0002214,85,Agent followed protocol correctly and confirmed resolution with customer.
QA486916,A016,INT0002219,85,Agent followed protocol correctly and confirmed resolution with customer.
QA937087,A050,INT0002232,82,Agent followed protocol correctly and confirmed resolution with customer.
QA968468,A014,INT0002234,92,Agent followed protocol correctly and confirmed resolution with customer.
QA182885,A006,INT0002235,83,Agent followed protocol correctly and confirmed resolution with customer.
QA307419,A034,INT0002243,96,Agent followed protocol correctly and confirmed resolution with customer.
QA845560,A020,INT0002253,52,Agent closed interaction prematurely; customer issue was not fully addressed.
QA547668,A018,INT0002255,56,Agent closed interaction prematurely; customer issue was not fully addressed.
QA836446,A043,INT0002279,80,Agent followed protocol correctly and confirmed resolution with customer.
QA871779,A038,INT0002289,96,Agent followed protocol correctly and confirmed resolution with customer.
QA927620,A039,INT0002307,55,Agent closed interaction prematurely; customer issue was not fully addressed.
QA904599,A070,INT0002310,81,Agent followed protocol correctly and confirmed resolution with customer.
QA971728,A015,INT0002329,83,Agent followed protocol correctly and confirmed resolution with customer.
QA636886,A006,INT0002345,85,Agent followed protocol correctly and confirmed resolution with customer.
QA300151,A060,INT0002346,86,Agent followed protocol correctly and confirmed resolution with customer.
QA725486,A035,INT0002377,92,Agent followed protocol correctly and confirmed resolution with customer.
QA362216,A021,INT0002383,97,Agent followed protocol correctly and confirmed resolution with customer.
QA585132,A036,INT0002404,80,Agent followed protocol correctly and confirmed resolution with customer.
QA479737,A047,INT0002414,96,Agent followed protocol correctly and confirmed resolution with customer.
QA946934,A072,INT0002422,86,Agent followed protocol correctly and confirmed resolution with customer.
QA628826,A068,INT0002437,92,Agent followed protocol correctly and confirmed resolution with customer.
QA664156,A022,INT0002439,89,Agent followed protocol correctly and confirmed resolution with customer.
QA515737,A026,INT0002465,99,Agent followed protocol correctly and confirmed resolution with customer.
QA369504,A026,INT0002480,84,Agent followed protocol correctly and confirmed resolution with customer.
QA603607,A040,INT0002487,81,Agent followed protocol correctly and confirmed resolution with customer.
QA520821,A055,INT0002489,59,Agent closed interaction prematurely; customer issue was not fully addressed.
QA930220,A069,INT0002490,54,Agent closed interaction prematurely; customer issue was not fully addressed.
QA768485,A039,INT0002500,82,Agent followed protocol correctly and confirmed resolution with customer.
QA173952,A044,INT0002510,89,Agent followed protocol correctly and confirmed resolution with customer.
QA733619,A065,INT0002514,72,Agent closed interaction prematurely; customer issue was not fully addressed.
QA754325,A044,INT0002520,85,Agent followed protocol correctly and confirmed resolution with customer.
QA591309,A012,INT0002532,95,Agent followed protocol correctly and confirmed resolution with customer.
QA391473,A027,INT0002535,84,Agent followed protocol correctly and confirmed resolution with customer.
QA345507,A057,INT0002538,82,Agent followed protocol correctly and confirmed resolution with customer.
QA478644,A023,INT0002544,66,Agent closed interaction prematurely; customer issue was not fully addressed.
QA994971,A014,INT0002547,85,Agent followed protocol correctly and confirmed resolution with customer.
QA488962,A019,INT0002555,88,Agent followed protocol correctly and confirmed resolution with customer.
QA760965,A038,INT0002578,88,Agent followed protocol correctly and confirmed resolution with customer.
QA960308,A072,INT0002583,98,Agent followed protocol correctly and confirmed resolution with customer.
QA228071,A032,INT0002600,82,Agent followed protocol correctly and confirmed resolution with customer.
QA275331,A069,INT0002602,59,Agent closed interaction prematurely; customer issue was not fully addressed.
QA353979,A005,INT0002607,95,Agent followed protocol correctly and confirmed resolution with customer.
QA110885,A008,INT0002612,82,Agent followed protocol correctly and confirmed resolution with customer.
QA111768,A074,INT0002616,50,Agent closed interaction prematurely; customer issue was not fully addressed.
QA813146,A056,INT0002627,96,Agent followed protocol correctly and confirmed resolution with customer.
QA433006,A039,INT0002637,98,Agent followed protocol correctly and confirmed resolution with customer.
QA128662,A041,INT0002642,88,Agent followed protocol correctly and confirmed resolution with customer.
QA317648,A007,INT0002646,97,Agent followed protocol correctly and confirmed resolution with customer.
QA993118,A018,INT0002656,89,Agent followed protocol correctly and confirmed resolution with customer.
QA433486,A052,INT0002668,80,Agent followed protocol correctly and confirmed resolution with customer.
QA935825,A003,INT0002677,92,Agent followed protocol correctly and confirmed resolution with customer.
QA773499,A024,INT0002691,90,Agent followed protocol correctly and confirmed resolution with customer.
QA292300,A030,INT0002706,91,Agent followed protocol correctly and confirmed resolution with customer.
QA553097,A047,INT0002713,97,Agent followed protocol correctly and confirmed resolution with customer.
QA865958,A019,INT0002719,97,Agent followed protocol correctly and confirmed resolution with customer.
QA920815,A072,INT0002749,65,Agent closed interaction prematurely; customer issue was not fully addressed.
QA768991,A025,INT0002755,70,Agent closed interaction prematurely; customer issue was not fully addressed.
QA895474,A059,INT0002762,50,Agent closed interaction prematurely; customer issue was not fully addressed.
QA333449,A004,INT0002776,72,Agent closed interaction prematurely; customer issue was not fully addressed.
QA144971,A066,INT0002786,72,Agent closed interaction prematurely; customer issue was not fully addressed.
QA867847,A052,INT0002789,90,Agent followed protocol correctly and confirmed resolution with customer.
QA258942,A075,INT0002807,57,Agent closed interaction prematurely; customer issue was not fully addressed.
QA467387,A022,INT0002825,69,Agent closed interaction prematurely; customer issue was not fully addressed.
QA247575,A049,INT0002826,61,Agent closed interaction prematurely; customer issue was not fully addressed.
QA222275,A071,INT0002828,82,Agent followed protocol correctly and confirmed resolution with customer.
QA962801,A058,INT0002835,63,Agent closed interaction prematurely; customer issue was not fully addressed.
QA567287,A064,INT0002837,99,Agent followed protocol correctly and confirmed resolution with customer.
QA334523,A025,INT0002841,98,Agent followed protocol correctly and confirmed resolution with customer.
QA190143,A021,INT0002872,75,Agent closed interaction prematurely; customer issue was not fully addressed.
QA120077,A036,INT0002875,66,Agent closed interaction prematurely; customer issue was not fully addressed.
QA176961,A062,INT0002876,86,Agent followed protocol correctly and confirmed resolution with customer.
QA939215,A075,INT0002879,70,Agent closed interaction prematurely; customer issue was not fully addressed.
QA774128,A043,INT0002895,58,Agent closed interaction prematurely; customer issue was not fully addressed.
QA318089,A055,INT0002957,85,Agent followed protocol correctly and confirmed resolution with customer.
QA972771,A022,INT0002961,98,Agent followed protocol correctly and confirmed resolution with customer.
QA710475,A002,INT0002967,57,Agent closed interaction prematurely; customer issue was not fully addressed.
QA588142,A071,INT0002975,95,Agent followed protocol correctly and confirmed resolution with customer.
QA770811,A038,INT0002985,81,Agent followed protocol correctly and confirmed resolution with customer.
QA417172,A041,INT0002986,90,Agent followed protocol correctly and confirmed resolution with customer.
QA924738,A052,INT0002989,81,Agent followed protocol correctly and confirmed resolution with customer.
QA872882,A039,INT0002990,93,Agent followed protocol correctly and confirmed resolution with customer.
QA317875,A044,INT0003035,60,Agent closed interaction prematurely; customer issue was not fully addressed.
QA371762,A038,INT0003037,96,Agent followed protocol correctly and confirmed resolution with customer.
QA375638,A051,INT0003056,100,Agent followed protocol correctly and confirmed resolution with customer.
QA712040,A046,INT0003060,84,Agent followed protocol correctly and confirmed resolution with customer.
QA783722,A002,INT0003066,62,Agent closed interaction prematurely; customer issue was not fully addressed.
QA253868,A064,INT0003074,84,Agent followed protocol correctly and confirmed resolution with customer.
QA306083,A021,INT0003092,98,Agent followed protocol correctly and confirmed resolution with customer.
QA122662,A012,INT0003104,97,Agent followed protocol correctly and confirmed resolution with customer.
QA179562,A006,INT0003105,80,Agent followed protocol correctly and confirmed resolution with customer.
QA884999,A007,INT0003113,94,Agent followed protocol correctly and confirmed resolution with customer.
QA755020,A021,INT0003123,87,Agent followed protocol correctly and confirmed resolution with customer.
QA673055,A075,INT0003124,92,Agent followed protocol correctly and confirmed resolution with customer.
QA455058,A019,INT0003126,57,Agent closed interaction prematurely; customer issue was not fully addressed.
QA911234,A073,INT0003135,92,Agent followed protocol correctly and confirmed resolution with customer.
QA865936,A074,INT0003153,88,Agent followed protocol correctly and confirmed resolution with customer.
QA823466,A073,INT0003172,99,Agent followed protocol correctly and confirmed resolution with customer.
QA942856,A055,INT0003173,87,Agent followed protocol correctly and confirmed resolution with customer.
QA494069,A029,INT0003175,80,Agent followed protocol correctly and confirmed resolution with customer.
QA297761,A055,INT0003177,99,Agent followed protocol correctly and confirmed resolution with customer.
QA755632,A058,INT0003181,56,Agent closed interaction prematurely; customer issue was not fully addressed.
QA928580,A008,INT0003182,55,Agent closed interaction prematurely; customer issue was not fully addressed.
QA273585,A028,INT0003186,86,Agent followed protocol correctly and confirmed resolution with customer.
QA809303,A020,INT0003194,51,Agent closed interaction prematurely; customer issue was not fully addressed.
QA812136,A054,INT0003214,87,Agent followed protocol correctly and confirmed resolution with customer.
QA515346,A019,INT0003231,93,Agent followed protocol correctly and confirmed resolution with customer.
QA349023,A069,INT0003253,50,Agent closed interaction prematurely; customer issue was not fully addressed.
QA932432,A008,INT0003256,98,Agent followed protocol correctly and confirmed resolution with customer.
QA717686,A021,INT0003279,80,Agent followed protocol correctly and confirmed resolution with customer.
QA838341,A017,INT0003298,99,Agent followed protocol correctly and confirmed resolution with customer.
QA214662,A051,INT0003303,97,Agent followed protocol correctly and confirmed resolution with customer.
QA992753,A007,INT0003304,80,Agent followed protocol correctly and confirmed resolution with customer.
QA823657,A046,INT0003316,99,Agent followed protocol correctly and confirmed resolution with customer.
QA872598,A053,INT0003321,92,Agent followed protocol correctly and confirmed resolution with customer.
