survey_id,interaction_id,rating,comment
SURV918695,INT0000527,1,The issue wasn't fixed.
SURV401807,INT0000533,1,The issue wasn't fixed.
SURV981304,INT0000536,1,The issue wasn't fixed.
SURV955096,INT0000537,2,The issue wasn't fixed.
SURV820156,INT0000543,1,The issue wasn't fixed.
SURV378433,INT0000549,5,"Quick and easy, thanks!"
SURV725145,INT0000552,5,"Quick and easy, thanks!"
SURV998436,INT0000553,1,The issue wasn't fixed.
SURV159649,INT0000554,1,The issue wasn't fixed.
SURV548097,INT0000562,5,"Quick and easy, thanks!"
SURV649439,INT0000564,1,The issue wasn't fixed.
SURV353536,INT0000569,2,The issue wasn't fixed.
SURV684006,INT0000572,4,"Quick and easy, thanks!"
SURV292106,INT0000580,2,The issue wasn't fixed.
SURV164002,INT0000582,4,"Quick and easy, thanks!"
SURV771202,INT0000583,5,"Quick and easy, thanks!"
SURV131028,INT0000593,5,"Quick and easy, thanks!"
SURV206143,INT0000596,2,The issue wasn't fixed.
SURV320004,INT0000599,4,"Quick and easy, thanks!"
SURV532924,INT0000600,5,"Quick and easy, thanks!"
SURV208026,INT0000604,5,"Quick and easy, thanks!"
SURV239832,INT0000610,4,Took a while but got sorted eventually.
SURV812692,INT0000615,3,Took a while but got sorted eventually.
SURV978192,INT0000616,4,Took a while but got sorted eventually.
SURV664862,INT0000626,1,The issue wasn't fixed.
SURV887685,INT0000632,5,"Quick and easy, thanks!"
SURV784455,INT0000635,5,"Quick and easy, thanks!"
SURV970954,INT0000643,1,The issue wasn't fixed.
SURV325018,INT0000648,5,"Quick and easy, thanks!"
SURV621684,INT0000662,1,The issue wasn't fixed.
SURV347405,INT0000664,1,The issue wasn't fixed.
SURV482391,INT0000667,2,The issue wasn't fixed.
SURV340109,INT0000669,5,"Quick and easy, thanks!"
SURV709487,INT0000674,4,Took a while but got sorted eventually.
SURV760584,INT0000677,2,The issue wasn't fixed.
SURV342999,INT0000678,1,The issue wasn't fixed.
SURV580812,INT0000680,1,The issue wasn't fixed.
SURV537672,INT0000697,1,The issue wasn't fixed.
SURV989002,INT0000698,2,The issue wasn't fixed.
SURV531775,INT0000702,3,Took a while but got sorted eventually.
SURV952061,INT0000703,3,Took a while but got sorted eventually.
SURV917921,INT0000705,4,Took a while but got sorted eventually.
SURV364973,INT0000706,3,Took a while but got sorted eventually.
SURV273168,INT0000710,5,"Quick and easy, thanks!"
SURV961142,INT0000712,2,The issue wasn't fixed.
SURV291270,INT0000713,2,The issue wasn't fixed.
SURV712660,INT0000714,1,The issue wasn't fixed.
SURV651278,INT0000718,3,Took a while but got sorted eventually.
SURV553237,INT0000721,2,The issue wasn't fixed.
SURV434472,INT0000724,1,The issue wasn't fixed.
SURV935976,INT0000728,3,Took a while but got sorted eventually.
SURV182442,INT0000731,1,The issue wasn't fixed.
SURV966512,INT0000734,3,Took a while but got sorted eventually.
SURV249156,INT0000736,4,"Quick and easy, thanks!"
SURV695438,INT0000740,5,"Quick and easy, thanks!"
SURV656594,INT0000746,4,"Quick and easy, thanks!"
SURV733760,INT0000761,5,"Quick and easy, thanks!"
SURV516211,INT0000780,5,"Quick and easy, thanks!"
SURV917514,INT0000787,4,"Quick and easy, thanks!"
SURV819243,INT0000798,5,"Quick and easy, thanks!"
SURV860320,INT0000800,1,The issue wasn't fixed.
SURV544164,INT0000801,1,The issue wasn't fixed.
SURV309457,INT0000806,2,The issue wasn't fixed.
SURV778892,INT0000829,2,The issue wasn't fixed.
SURV348632,INT0000830,1,The issue wasn't fixed.
SURV893303,INT0000831,2,The issue wasn't fixed.
SURV748116,INT0000842,1,The issue wasn't fixed.
SURV866490,INT0000849,4,Took a while but got sorted eventually.
SURV268461,INT0000851,4,Took a while but got sorted eventually.
SURV607960,INT0000854,2,The issue wasn't fixed.
SURV819026,INT0000859,5,"Quick and easy, thanks!"
SURV467266,INT0000861,5,"Quick and easy, thanks!"
SURV194164,INT0000869,4,Took a while but got sorted eventually.
SURV372477,INT0000870,4,Took a while but got sorted eventually.
SURV653584,INT0000881,5,"Quick and easy, thanks!"
SURV159414,INT0000887,1,The issue wasn't fixed.
SURV281860,INT0000889,4,Took a while but got sorted eventually.
SURV754306,INT0000890,4,Took a while but got sorted eventually.
SURV762985,INT0000894,5,"Quick and easy, thanks!"
SURV562471,INT0000899,2,The issue wasn't fixed.
SURV227523,INT0000900,3,Took a while but got sorted eventually.
SURV973258,INT0000901,4,Took a while but got sorted eventually.
SURV378064,INT0000902,5,"Quick and easy, thanks!"
SURV801490,INT0000909,4,Took a while but got sorted eventually.
SURV262866,INT0000913,5,"Quick and easy, thanks!"
SURV218974,INT0000916,1,The issue wasn't fixed.
SURV562247,INT0000919,1,The issue wasn't fixed.
SURV407572,INT0000925,1,The issue wasn't fixed.
SURV876684,INT0000926,2,The issue wasn't fixed.
SURV420732,INT0000927,2,The issue wasn't fixed.
SURV421208,INT0000946,1,The issue wasn't fixed.
SURV677380,INT0000951,2,The issue wasn't fixed.
SURV660969,INT0000966,5,"Quick and easy, thanks!"
SURV280457,INT0000970,4,Took a while but got sorted eventually.
SURV963101,INT0000973,5,"Quick and easy, thanks!"
SURV615983,INT0000985,5,"Quick and easy, thanks!"
SURV645954,INT0000986,4,Took a while but got sorted eventually.
SURV236670,INT0000993,3,Took a while but got sorted eventually.
SURV586286,INT0000996,4,"Quick and easy, thanks!"
SURV990865,INT0000998,3,Took a while but got sorted eventually.
SURV850271,INT0000999,4,Took a while but got sorted eventually.
SURV857106,INT0001005,4,Took a while but got sorted eventually.
SURV280059,INT0001015,4,"Quick and easy, thanks!"
SURV612799,INT0001032,1,The issue wasn't fixed.
SURV153004,INT0001033,3,Took a while but got sorted eventually.
SURV210207,INT0001034,4,Took a while but got sorted eventually.
SURV794116,INT0001037,2,The issue wasn't fixed.
SURV337805,INT0001038,2,The issue wasn't fixed.
SURV563051,INT0001044,5,"Quick and easy, thanks!"
SURV859212,INT0001045,1,The issue wasn't fixed.
SURV435373,INT0001048,2,The issue wasn't fixed.
SURV858365,INT0001052,1,The issue wasn't fixed.
SURV346151,INT0001054,1,The issue wasn't fixed.
SURV601671,INT0001058,1,The issue wasn't fixed.
SURV584019,INT0001060,2,The issue wasn't fixed.
SURV979745,INT0001065,1,The issue wasn't fixed.
SURV467932,INT0001066,2,The issue wasn't fixed.
SURV321956,INT0001069,2,The issue wasn't fixed.
SURV218864,INT0001070,2,The issue wasn't fixed.
SURV426501,INT0001071,2,The issue wasn't fixed.
SURV393231,INT0001075,3,Took a while but got sorted eventually.
SURV386855,INT0001079,1,The issue wasn't fixed.
SURV513989,INT0001082,5,"Quick and easy, thanks!"
SURV395529,INT0001084,5,"Quick and easy, thanks!"
SURV687024,INT0001088,1,The issue wasn't fixed.
SURV968197,INT0001106,5,"Quick and easy, thanks!"
SURV129168,INT0001109,2,The issue wasn't fixed.
SURV192107,INT0001119,4,"Quick and easy, thanks!"
SURV137290,INT0001122,1,The issue wasn't fixed.
SURV141098,INT0001133,1,The issue wasn't fixed.
SURV620354,INT0001143,4,"Quick and easy, thanks!"
SURV142230,INT0001146,2,The issue wasn't fixed.
SURV166063,INT0001148,5,"Quick and easy, thanks!"
SURV432109,INT0001151,1,The issue wasn't fixed.
SURV492716,INT0001152,2,The issue wasn't fixed.
SURV700084,INT0001154,4,Took a while but got sorted eventually.
SURV539875,INT0001168,1,The issue wasn't fixed.
SURV533452,INT0001175,1,The issue wasn't fixed.
SURV535274,INT0001184,1,The issue wasn't fixed.
SURV684728,INT0001188,1,The issue wasn't fixed.
SURV146254,INT0001191,4,"Quick and easy, thanks!"
SURV767085,INT0001197,4,Took a while but got sorted eventually.
SURV198414,INT0001198,2,The issue wasn't fixed.
SURV272852,INT0001199,1,The issue wasn't fixed.
SURV252549,INT0001202,1,The issue wasn't fixed.
SURV478570,INT0001206,4,"Quick and easy, thanks!"
SURV490124,INT0001210,1,The issue wasn't fixed.
SURV330569,INT0001212,1,The issue wasn't fixed.
SURV699772,INT0001217,5,"Quick and easy, thanks!"
SURV409860,INT0001222,5,"Quick and easy, thanks!"
SURV796365,INT0001224,3,Took a while but got sorted eventually.
SURV583989,INT0001244,2,The issue wasn't fixed.
SURV388990,INT0001257,4,Took a while but got sorted eventually.
SURV852612,INT0001258,4,Took a while but got sorted eventually.
SURV830175,INT0001259,1,The issue wasn't fixed.
SURV964416,INT0001261,1,The issue wasn't fixed.
SURV251122,INT0001262,4,"Quick and easy, thanks!"
SURV495062,INT0001264,5,"Quick and easy, thanks!"
SURV713434,INT0001285,4,"Quick and easy, thanks!"
SURV249755,INT0001286,4,Took a while but got sorted eventually.
SURV319010,INT0001296,1,The issue wasn't fixed.
SURV707217,INT0001300,2,The issue wasn't fixed.
SURV329876,INT0001306,1,The issue wasn't fixed.
SURV210250,INT0001308,1,The issue wasn't fixed.
SURV916310,INT0001315,5,"Quick and easy, thanks!"
SURV515231,INT0001322,5,"Quick and easy, thanks!"
SURV667594,INT0001325,5,"Quick and easy, thanks!"
SURV483089,INT0001333,5,"Quick and easy, thanks!"
SURV613069,INT0001334,4,"Quick and easy, thanks!"
SURV331247,INT0001345,2,The issue wasn't fixed.
SURV379702,INT0001348,5,"Quick and easy, thanks!"
SURV218120,INT0001351,4,Took a while but got sorted eventually.
SURV953807,INT0001352,4,Took a while but got sorted eventually.
SURV417201,INT0001366,3,Took a while but got sorted eventually.
SURV225738,INT0001372,4,"Quick and easy, thanks!"
SURV467360,INT0001385,3,Took a while but got sorted eventually.
SURV259414,INT0001395,5,"Quick and easy, thanks!"
SURV296759,INT0001397,4,"Quick and easy, thanks!"
SURV788858,INT0001405,5,"Quick and easy, thanks!"
SURV723179,INT0001407,5,"Quick and easy, thanks!"
SURV594036,INT0001409,4,"Quick and easy, thanks!"
SURV753310,INT0001412,4,"Quick and easy, thanks!"
SURV201041,INT0001414,1,The issue wasn't fixed.
SURV434662,INT0001421,4,"Quick and easy, thanks!"
SURV972609,INT0001427,5,"Quick and easy, thanks!"
SURV804615,INT0001429,3,Took a while but got sorted eventually.
SURV756876,INT0001430,5,"Quick and easy, thanks!"
SURV944273,INT0001437,1,The issue wasn't fixed.
SURV914041,INT0001445,1,The issue wasn't fixed.
SURV306136,INT0001448,3,Took a while but got sorted eventually.
SURV877549,INT0001452,5,"Quick and easy, thanks!"
SURV280190,INT0001454,5,"Quick and easy, thanks!"
SURV638308,INT0001457,3,Took a while but got sorted eventually.
SURV203788,INT0001461,5,"Quick and easy, thanks!"
SURV701831,INT0001462,4,"Quick and easy, thanks!"
SURV516387,INT0001474,4,"Quick and easy, thanks!"
SURV886450,INT0001478,4,"Quick and easy, thanks!"
SURV962961,INT0001509,4,"Quick and easy, thanks!"
SURV868381,INT0001516,3,Took a while but got sorted eventually.
SURV852209,INT0001518,5,"Quick and easy, thanks!"
SURV871704,INT0001528,5,"Quick and easy, thanks!"
SURV104925,INT0001529,5,"Quick and easy, thanks!"
SURV711958,INT0001554,4,Took a while but got sorted eventually.
SURV403802,INT0001557,3,Took a while but got sorted eventually.
SURV135277,INT0001558,4,Took a while but got sorted eventually.
SURV282909,INT0001572,2,The issue wasn't fixed.
SURV626306,INT0001579,5,"Quick and easy, thanks!"
SURV529097,INT0001582,1,The issue wasn't fixed.
SURV236778,INT0001597,1,The issue wasn't fixed.
SURV634493,INT0001629,1,The issue wasn't fixed.
SURV923562,INT0001638,4,"Quick and easy, thanks!"
SURV294030,INT0001644,4,"Quick and easy, thanks!"
SURV453467,INT0001647,5,"Quick and easy, thanks!"
SURV708186,INT0001652,4,"Quick and easy, thanks!"
SURV974811,INT0001658,5,"Quick and easy, thanks!"
SURV898191,INT0001661,2,The issue wasn't fixed.
SURV618911,INT0001662,1,The issue wasn't fixed.
SURV882956,INT0001678,5,"Quick and easy, thanks!"
SURV706993,INT0001681,4,Took a while but got sorted eventually.
SURV729287,INT0001689,1,The issue wasn't fixed.
SURV700185,INT0001691,1,The issue wasn't fixed.
SURV326900,INT0001695,5,"Quick and easy, thanks!"
SURV525124,INT0001710,5,"Quick and easy, thanks!"
SURV848713,INT0001711,4,"Quick and easy, thanks!"
SURV807738,INT0001742,1,The issue wasn't fixed.
SURV555099,INT0001745,3,Took a while but got sorted eventually.
SURV287683,INT0001752,2,The issue wasn't fixed.
SURV287644,INT0001753,4,Took a while but got sorted eventually.
SURV875497,INT0001755,4,Took a while but got sorted eventually.
SURV318247,INT0001767,5,"Quick and easy, thanks!"
SURV142606,INT0001785,5,"Quick and easy, thanks!"
SURV787173,INT0001797,5,"Quick and easy, thanks!"
SURV660769,INT0001807,2,The issue wasn't fixed.
SURV483426,INT0001814,5,"Quick and easy, thanks!"
SURV478915,INT0001823,3,Took a while but got sorted eventually.
SURV417130,INT0001836,1,The issue wasn't fixed.
SURV380050,INT0001841,1,The issue wasn't fixed.
SURV946421,INT0001848,1,The issue wasn't fixed.
SURV138205,INT0001855,1,The issue wasn't fixed.
SURV232405,INT0001858,3,Took a while but got sorted eventually.
SURV565006,INT0001862,5,"Quick and easy, thanks!"
SURV591918,INT0001866,5,"Quick and easy, thanks!"
SURV377388,INT0001872,1,The issue wasn't fixed.
SURV485074,INT0001873,1,The issue wasn't fixed.
SURV175147,INT0001879,5,"Quick and easy, thanks!"
SURV199786,INT0001883,5,"Quick and easy, thanks!"
SURV428622,INT0001892,3,Took a while but got sorted eventually.
SURV270304,INT0001895,4,"Quick and easy, thanks!"
SURV644824,INT0001903,4,"Quick and easy, thanks!"
SURV662014,INT0001909,1,The issue wasn't fixed.
SURV489485,INT0001913,1,The issue wasn't fixed.
SURV202670,INT0001915,1,The issue wasn't fixed.
SURV426624,INT0001920,1,The issue wasn't fixed.
SURV374401,INT0001935,4,Took a while but got sorted eventually.
SURV803315,INT0001938,1,The issue wasn't fixed.
SURV377955,INT0001946,2,The issue wasn't fixed.
SURV696793,INT0001957,4,Took a while but got sorted eventually.
SURV116858,INT0001970,5,"Quick and easy, thanks!"
SURV567495,INT0001982,1,The issue wasn't fixed.
SURV625842,INT0001986,5,"Quick and easy, thanks!"
SURV468683,INT0002005,4,"Quick and easy, thanks!"
SURV907150,INT0002013,4,"Quick and easy, thanks!"
SURV242914,INT0002028,5,"Quick and easy, thanks!"
SURV647612,INT0002029,3,Took a while but got sorted eventually.
SURV130916,INT0002032,3,Took a while but got sorted eventually.
SURV700585,INT0002042,4,Took a while but got sorted eventually.
SURV628898,INT0002044,5,"Quick and easy, thanks!"
SURV846003,INT0002053,2,The issue wasn't fixed.
SURV608922,INT0002076,4,"Quick and easy, thanks!"
SURV867736,INT0002095,2,The issue wasn't fixed.
SURV479835,INT0002100,5,"Quick and easy, thanks!"
SURV331106,INT0002103,5,"Quick and easy, thanks!"
SURV627425,INT0002105,5,"Quick and easy, thanks!"
SURV246294,INT0002137,4,Took a while but got sorted eventually.
SURV540830,INT0002139,1,The issue wasn't fixed.
SURV850214,INT0002154,1,The issue wasn't fixed.
SURV728830,INT0002156,1,The issue wasn't fixed.
SURV105640,INT0002175,5,"Quick and easy, thanks!"
SURV953313,INT0002185,3,Took a while but got sorted eventually.
SURV372914,INT0002186,3,Took a while but got sorted eventually.
SURV857069,INT0002188,2,The issue wasn't fixed.
SURV412752,INT0002189,1,The issue wasn't fixed.
SURV772232,INT0002192,5,"Quick and easy, thanks!"
SURV611261,INT0002201,1,The issue wasn't fixed.
SURV544649,INT0002203,1,The issue wasn't fixed.
SURV138445,INT0002206,1,The issue wasn't fixed.
SURV370268,INT0002211,3,Took a while but got sorted eventually.
SURV131404,INT0002214,4,Took a while but got sorted eventually.
SURV886002,INT0002236,1,The issue wasn't fixed.
SURV167275,INT0002237,4,Took a while but got sorted eventually.
SURV961035,INT0002249,4,"Quick and easy, thanks!"
SURV788894,INT0002251,4,Took a while but got sorted eventually.
SURV558201,INT0002252,1,The issue wasn't fixed.
SURV108367,INT0002255,1,The issue wasn't fixed.
SURV525517,INT0002259,3,Took a while but got sorted eventually.
SURV857849,INT0002268,3,Took a while but got sorted eventually.
SURV450867,INT0002270,5,"Quick and easy, thanks!"
SURV878019,INT0002275,5,"Quick and easy, thanks!"
SURV591286,INT0002276,1,The issue wasn't fixed.
SURV316375,INT0002278,5,"Quick and easy, thanks!"
SURV188343,INT0002282,5,"Quick and easy, thanks!"
SURV856603,INT0002288,3,Took a while but got sorted eventually.
SURV173706,INT0002294,2,The issue wasn't fixed.
SURV806799,INT0002295,1,The issue wasn't fixed.
SURV487121,INT0002301,1,The issue wasn't fixed.
SURV368098,INT0002302,4,Took a while but got sorted eventually.
SURV184133,INT0002311,2,The issue wasn't fixed.
SURV226901,INT0002312,2,The issue wasn't fixed.
SURV181558,INT0002313,2,The issue wasn't fixed.
SURV517974,INT0002323,5,"Quick and easy, thanks!"
SURV492393,INT0002325,5,"Quick and easy, thanks!"
SURV995208,INT0002331,5,"Quick and easy, thanks!"
SURV331350,INT0002375,5,"Quick and easy, thanks!"
SURV380659,INT0002380,1,The issue wasn't fixed.
SURV474763,INT0002392,4,"Quick and easy, thanks!"
SURV653267,INT0002393,5,"Quick and easy, thanks!"
SURV568855,INT0002394,1,The issue wasn't fixed.
SURV232531,INT0002404,4,"Quick and easy, thanks!"
SURV448763,INT0002416,5,"Quick and easy, thanks!"
SURV344767,INT0002428,3,Took a while but got sorted eventually.
SURV932179,INT0002430,1,The issue wasn't fixed.
SURV240863,INT0002431,1,The issue wasn't fixed.
SURV803012,INT0002433,1,The issue wasn't fixed.
SURV480500,INT0002465,1,The issue wasn't fixed.
SURV993381,INT0002473,5,"Quick and easy, thanks!"
SURV111174,INT0002474,5,"Quick and easy, thanks!"
SURV683533,INT0002481,2,The issue wasn't fixed.
SURV746626,INT0002496,2,The issue wasn't fixed.
SURV309061,INT0002502,1,The issue wasn't fixed.
SURV538174,INT0002511,4,Took a while but got sorted eventually.
SURV986022,INT0002518,1,The issue wasn't fixed.
SURV922027,INT0002519,1,The issue wasn't fixed.
SURV646906,INT0002522,4,"Quick and easy, thanks!"
SURV141604,INT0002529,2,The issue wasn't fixed.
SURV774601,INT0002543,1,The issue wasn't fixed.
SURV980813,INT0002558,2,The issue wasn't fixed.
SURV667328,INT0002571,4,Took a while but got sorted eventually.
SURV945475,INT0002574,2,The issue wasn't fixed.
SURV221580,INT0002581,5,"Quick and easy, thanks!"
SURV944819,INT0002585,2,The issue wasn't fixed.
SURV443977,INT0002597,4,Took a while but got sorted eventually.
SURV963103,INT0002606,4,"Quick and easy, thanks!"
SURV837776,INT0002607,3,Took a while but got sorted eventually.
SURV763567,INT0002623,3,Took a while but got sorted eventually.
SURV454782,INT0002629,2,The issue wasn't fixed.
SURV446621,INT0002632,4,Took a while but got sorted eventually.
SURV744290,INT0002638,1,The issue wasn't fixed.
SURV296619,INT0002640,5,"Quick and easy, thanks!"
SURV995510,INT0002657,4,"Quick and easy, thanks!"
SURV482392,INT0002660,1,The issue wasn't fixed.
SURV399654,INT0002663,5,"Quick and easy, thanks!"
SURV424947,INT0002664,4,"Quick and easy, thanks!"
SURV291386,INT0002669,4,Took a while but got sorted eventually.
SURV759144,INT0002671,4,"Quick and easy, thanks!"
SURV735864,INT0002673,5,"Quick and easy, thanks!"
SURV204139,INT0002683,3,Took a while but got sorted eventually.
SURV946762,INT0002687,1,The issue wasn't fixed.
SURV500756,INT0002692,5,"Quick and easy, thanks!"
SURV231367,INT0002698,1,The issue wasn't fixed.
SURV828334,INT0002700,4,"Quick and easy, thanks!"
SURV608862,INT0002709,5,"Quick and easy, thanks!"
SURV803333,INT0002710,3,Took a while but got sorted eventually.
SURV823449,INT0002715,5,"Quick and easy, thanks!"
SURV286446,INT0002716,5,"Quick and easy, thanks!"
SURV483791,INT0002728,1,The issue wasn't fixed.
SURV944761,INT0002734,4,"Quick and easy, thanks!"
SURV953601,INT0002746,2,The issue wasn't fixed.
SURV443201,INT0002749,1,The issue wasn't fixed.
SURV825102,INT0002752,1,The issue wasn't fixed.
SURV791177,INT0002769,4,Took a while but got sorted eventually.
SURV658333,INT0002772,1,The issue wasn't fixed.
SURV397255,INT0002774,5,"Quick and easy, thanks!"
SURV589775,INT0002776,1,The issue wasn't fixed.
SURV532788,INT0002783,3,Took a while but got sorted eventually.
SURV541373,INT0002787,1,The issue wasn't fixed.
SURV966042,INT0002790,1,The issue wasn't fixed.
SURV151939,INT0002795,5,"Quick and easy, thanks!"
SURV191282,INT0002800,4,Took a while but got sorted eventually.
SURV691273,INT0002804,4,Took a while but got sorted eventually.
SURV900917,INT0002807,1,The issue wasn't fixed.
SURV228505,INT0002812,5,"Quick and easy, thanks!"
SURV999367,INT0002813,4,"Quick and easy, thanks!"
SURV955874,INT0002821,5,"Quick and easy, thanks!"
SURV227704,INT0002832,4,Took a while but got sorted eventually.
SURV872447,INT0002834,1,The issue wasn't fixed.
SURV992167,INT0002836,2,The issue wasn't fixed.
SURV904250,INT0002839,5,"Quick and easy, thanks!"
SURV629710,INT0002842,2,The issue wasn't fixed.
SURV774626,INT0002845,4,"Quick and easy, thanks!"
SURV774016,INT0002849,1,The issue wasn't fixed.
SURV453873,INT0002860,2,The issue wasn't fixed.
SURV585214,INT0002865,2,The issue wasn't fixed.
SURV625148,INT0002869,1,The issue wasn't fixed.
SURV351237,INT0002870,1,The issue wasn't fixed.
SURV316524,INT0002876,4,Took a while but got sorted eventually.
SURV721189,INT0002878,4,"Quick and easy, thanks!"
SURV925787,INT0002880,1,The issue wasn't fixed.
SURV842416,INT0002885,1,The issue wasn't fixed.
SURV596231,INT0002897,1,The issue wasn't fixed.
SURV136754,INT0002909,1,The issue wasn't fixed.
SURV868836,INT0002910,3,Took a while but got sorted eventually.
SURV670991,INT0002913,2,The issue wasn't fixed.
SURV213041,INT0002917,4,"Quick and easy, thanks!"
SURV793107,INT0002919,2,The issue wasn't fixed.
SURV373731,INT0002931,1,The issue wasn't fixed.
SURV853026,INT0002935,5,"Quick and easy, thanks!"
SURV447362,INT0002938,4,"Quick and easy, thanks!"
SURV177464,INT0002939,5,"Quick and easy, thanks!"
SURV842028,INT0002942,1,The issue wasn't fixed.
SURV770249,INT0002943,1,The issue wasn't fixed.
SURV599216,INT0002945,1,The issue wasn't fixed.
SURV772930,INT0002949,5,"Quick and easy, thanks!"
SURV306774,INT0002950,5,"Quick and easy, thanks!"
SURV271811,INT0002952,3,Took a while but got sorted eventually.
SURV884574,INT0002955,1,The issue wasn't fixed.
SURV868075,INT0002965,2,The issue wasn't fixed.
SURV740671,INT0002966,4,Took a while but got sorted eventually.
SURV939454,INT0002970,5,"Quick and easy, thanks!"
SURV285086,INT0002977,3,Took a while but got sorted eventually.
SURV946293,INT0002986,2,The issue wasn't fixed.
SURV366279,INT0002992,4,"Quick and easy, thanks!"
SURV820116,INT0003002,4,"Quick and easy, thanks!"
SURV826949,INT0003004,4,"Quick and easy, thanks!"
SURV504377,INT0003006,3,Took a while but got sorted eventually.
SURV903806,INT0003011,5,"Quick and easy, thanks!"
SURV604359,INT0003014,5,"Quick and easy, thanks!"
SURV165195,INT0003018,5,"Quick and easy, thanks!"
SURV290966,INT0003022,5,"Quick and easy, thanks!"
SURV866606,INT0003026,1,The issue wasn't fixed.
SURV159114,INT0003034,1,The issue wasn't fixed.
SURV290836,INT0003054,4,"Quick and easy, thanks!"
SURV866971,INT0003055,4,"Quick and easy, thanks!"
SURV854182,INT0003059,5,"Quick and easy, thanks!"
SURV911463,INT0003067,1,The issue wasn't fixed.
SURV968053,INT0003070,4,Took a while but got sorted eventually.
SURV395795,INT0003080,1,The issue wasn't fixed.
SURV811376,INT0003081,5,"Quick and easy, thanks!"
SURV839780,INT0003084,1,The issue wasn't fixed.
SURV274650,INT0003112,3,Took a while but got sorted eventually.
SURV490303,INT0003113,4,"Quick and easy, thanks!"
SURV138866,INT0003121,5,"Quick and easy, thanks!"
